"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Tue Apr 30, 2024, 11:17AM","36"
"Chris Wood","NOT","F","sean","Reserve","Active","Tue Apr 30, 2024, 8:58AM","36"
"Jacob Bruun Larsen","BUR","F","sean","Active","Reserve","Tue Apr 30, 2024, 8:58AM","36"
"Gustavo Hamer","SHU","M","sean","Reserve","Active","Tue Apr 30, 2024, 8:58AM","36"
"Dejan Kulusevski","TOT","M","sean","Active","Reserve","Tue Apr 30, 2024, 8:58AM","36"
"Lucas Digne","AVL","D","sean","Reserve","Active","Tue Apr 30, 2024, 8:58AM","36"
"Micky van de Ven","TOT","D","sean","Active","Reserve","Tue Apr 30, 2024, 8:58AM","36"
"John McGinn","AVL","M","sean","Reserve","Active","Tue Apr 30, 2024, 8:56AM","36"
"Moises Caicedo","BHA/CHE","M","sean","Active","Reserve","Tue Apr 30, 2024, 8:56AM","36"
"Harvey Barnes","NEW","M","tj","Reserve","Active","Tue Apr 30, 2024, 7:03AM","36"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Tue Apr 30, 2024, 7:03AM","36"
"Harvey Barnes","NEW","M","tj","Active","Reserve","Tue Apr 30, 2024, 7:02AM","36"
"Reece James","CHE","D","mg","Inj Res","Reserve","Mon Apr 29, 2024, 3:38PM","36"
"Rayan Ait-Nouri","WOL","D","mg","Active","Inj Res","Mon Apr 29, 2024, 3:38PM","36"
"Emerson","WHU","D","ben","Reserve","Active","Mon Apr 29, 2024, 9:29AM","36"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Mon Apr 29, 2024, 1:54AM","36"
"Jacob Murphy","NEW","M","vu","Reserve","Active","Mon Apr 29, 2024, 1:54AM","36"
"Jean-Philippe Mateta","CRY","F","vu","Reserve","Active","Mon Apr 29, 2024, 1:53AM","36"
"Joao Pedro","BHA","F","vu","Active","Reserve","Mon Apr 29, 2024, 1:53AM","36"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Mon Apr 29, 2024, 1:53AM","36"
"Ben White","ARS","D","vu","Reserve","Active","Mon Apr 29, 2024, 1:53AM","36"
"Kieran Trippier","NEW","D","tj","Reserve","Inj Res","Sun Apr 28, 2024, 12:05PM","36"
"Cody Gakpo","LIV","F","tj","Inj Res","Reserve","Sun Apr 28, 2024, 12:05PM","36"
"Rasmus Hojlund","MUN","F","tj","Active","Reserve","Sun Apr 28, 2024, 12:04PM","36"
"Rodrigo Muniz","FUL","F","tj","Reserve","Active","Sun Apr 28, 2024, 12:04PM","36"
"Mohammed Kudus","WHU","M","tj","Reserve","Active","Sun Apr 28, 2024, 12:00PM","36"
"Benoit Badiashile","CHE","D","tj","Active","Reserve","Sun Apr 28, 2024, 12:00PM","36"
"Fabian Schar","NEW","D","aj","Active","Reserve","Sun Apr 28, 2024, 10:27AM","36"
