"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06c4o*","F","Lyle Foster","BUR","F","-","NOT 2<br/>@BUR 1 F","10","10","1","90","0","1","0","1","1","5","0","0","0","1","0","1","0","5","0","0","0","1","0"
"*067yv*","F","Cody Gakpo","LIV","F","-","WOL 0<br/>@LIV 2 F","34","11.33","3","208","0","3","1","2","4","4","0","0","0","2","1","8","0","2","0","0","0","1","2"
"*04qrc*","F","Raul Jimenez","FUL","F","-","FUL 4<br/>@LUT 2 F","8","8","1","90","0","0","0","2","1","2","0","0","0","0","1","0","0","2","0","0","0","1","0"
"*06492*","F","Sasa Kalajdzic","WOL","F","-","WOL 0<br/>@LIV 2 F","4.5","4.5","1","60","0","1","0","0","0","2","0","0","0","0","2","0","0","3","0","0","0","0","1"
"*068n8*","F","Noni Madueke","CHE","F","-","BOU 1<br/>@CHE 2 F","5.5","5.5","1","45","0","1","0","0","0","2","0","0","0","0","0","3","0","1","0","0","0","1","0"
"*05r8o*","F","Jean-Philippe Mateta","CRY","F","-","AVL 0<br/>@CRY 5 F","21.5","10.75","2","175","0","5","0","1","2","8","0","0","0","0","2","5","0","3","0","0","0","3","0"
"*03scr*","F","Aleksandar Mitrovic","FUL","F","-","FUL 4<br/>@LUT 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03fgo*","F","Dominic Solanke","BOU","F","-","BOU 1<br/>@CHE 2 F","77.5","12.92","6","540","3","7","1","7","0","17","1","0","1","1","8","4","1","4","0","0","0","14","0"
"*037mo*","F","Willian","FUL","F","-","FUL 4<br/>@LUT 2 F","6.5","6.5","1","85","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"*02m5b*","F","Chris Wood","NOT","F","-","NOT 2<br/>@BUR 1 F","6.5","6.5","1","88","0","0","0","1","1","1","0","0","0","0","1","0","0","4","0","0","0","1","0"
"","Totals","","","","","","5342.25","13.49","396","32,515","73","554","75","203","351","448","57","2","207","261","559","438","86","454","0","6","3","520","96"

